"Receiver 1 VAST Satellite 010D 4033";"10.49.36.111"
"Receiver 1 VAST Satellite 010D 4098";"10.11.16.36"
"Receiver 1 VAST Satellite 010D 4124";"10.49.36.47"
"Receiver 1 VAST Satellite 010D 6065";"10.49.22.175"
"Receiver 1 VAST Satellite 020D 2023";"10.49.41.207"
"Receiver 1 VAST Satellite 020D 2027";"10.66.143.171"
"Receiver 1 VAST Satellite 020D 2029";"10.66.130.236"
"Receiver 1 VAST Satellite 020D 2032";"10.49.39.171"
"Receiver 1 VAST Satellite 020D 2034";"10.66.135.109"
"Receiver 1 VAST Satellite 020D 2038";"10.49.42.111"
"Receiver 1 VAST Satellite 020D 2042";"10.49.20.43"
"Receiver 1 VAST Satellite 020D 2044";"10.49.9.235"
"Receiver 1 VAST Satellite 020D 2047";"10.49.37.207"
"Receiver 1 VAST Satellite 020D 2049";"10.49.41.48"
"Receiver 1 VAST Satellite 020D 2057";"10.49.42.144"
"Receiver 1 VAST Satellite 020D 2058";"10.49.7.140"
"Receiver 1 VAST Satellite 020D 2062";"10.49.27.238"
"Receiver 1 VAST Satellite 020D 2063";"10.49.28.207"
"Receiver 1 VAST Satellite 020D 2073";"10.66.151.144"
"Receiver 1 VAST Satellite 020D 2077";"10.49.6.110"
"Receiver 1 VAST Satellite 020D 2093";"10.49.38.176"
"Receiver 1 VAST Satellite 020D 2111";"10.49.21.203"
"Receiver 1 VAST Satellite 020D 2112";"10.49.4.104"
"Receiver 1 VAST Satellite 020D 2114";"10.49.27.203"
"Receiver 1 VAST Satellite 020D 2132";"10.66.138.137"
"Receiver 1 VAST Satellite 020D 2149";"10.66.150.171"
"Receiver 1 VAST Satellite 020D 3032";"10.66.133.80"
"Receiver 1 VAST Satellite 020D 3033";"10.49.27.141"
"Receiver 1 VAST Satellite 020D 3034";"10.49.40.235"
"Receiver 1 VAST Satellite 020D 3036";"10.49.6.240"
"Receiver 1 VAST Satellite 020D 3048";"10.66.146.15"
"Receiver 1 VAST Satellite 020D 3052";"10.49.33.75"
"Receiver 1 VAST Satellite 020D 3056";"10.49.33.107"
"Receiver 1 VAST Satellite 020D 3080";"10.49.9.203"
"Receiver 1 VAST Satellite 020D 4001";"10.49.43.111"
"Receiver 1 VAST Satellite 020D 4003";"10.49.23.174"
"Receiver 1 VAST Satellite 020D 4009";"10.49.35.75"
"Receiver 1 VAST Satellite 020D 4010";"10.49.36.77"
"Receiver 1 VAST Satellite 020D 4012";"10.49.45.75"
"Receiver 1 VAST Satellite 020D 4013";"10.49.32.110"
"Receiver 1 VAST Satellite 020D 4015";"10.49.36.13"
"Receiver 1 VAST Satellite 020D 4018";"10.49.40.203"
"Receiver 1 VAST Satellite 020D 4027";"10.66.146.139"
"Receiver 1 VAST Satellite 020D 4028";"10.49.43.15"
"Receiver 1 VAST Satellite 020D 4030";"10.49.21.15"
"Receiver 1 VAST Satellite 020D 4032";"10.49.30.206"
"Receiver 1 VAST Satellite 020D 4033";"10.49.36.112"
"Receiver 1 VAST Satellite 020D 4035";"10.49.43.171"
"Receiver 1 VAST Satellite 020D 4037";"10.49.40.171"
"Receiver 1 VAST Satellite 020D 4041";"10.66.146.172"
"Receiver 1 VAST Satellite 020D 4045";"10.49.25.78"
"Receiver 1 VAST Satellite 020D 4048";"10.49.31.109"
"Receiver 1 VAST Satellite 020D 4054";"10.49.25.112"
"Receiver 1 VAST Satellite 020D 4058";"10.49.39.49"
"Receiver 1 VAST Satellite 020D 4059";"10.49.44.43"
"Receiver 1 VAST Satellite 020D 4064";"10.49.32.240"
"Receiver 1 VAST Satellite 020D 4066";"10.49.40.139"
"Receiver 1 VAST Satellite 020D 4067";"10.66.144.75"
"Receiver 1 VAST Satellite 020D 4069";"10.49.28.110"
"Receiver 1 VAST Satellite 020D 4072";"10.49.3.169"
"Receiver 1 VAST Satellite 020D 4083";"10.66.143.203"
"Receiver 1 VAST Satellite 020D 4084";"10.49.2.215"
"Receiver 1 VAST Satellite 020D 4087";"10.49.22.206"
"Receiver 1 VAST Satellite 020D 4089";"10.49.31.174"
"Receiver 1 VAST Satellite 020D 4090";"10.66.139.137"
"Receiver 1 VAST Satellite 020D 4095";"10.49.13.204"
"Receiver 1 VAST Satellite 020D 4103";"10.66.138.43"
"Receiver 1 VAST Satellite 020D 4112";"10.49.17.75"
"Receiver 1 VAST Satellite 020D 4117";"10.66.138.14"
"Receiver 1 VAST Satellite 020D 4118";"10.49.32.78"
"Receiver 1 VAST Satellite 020D 4119";"10.49.30.173"
"Receiver 1 VAST Satellite 020D 4120";"10.49.28.45"
"Receiver 1 VAST Satellite 020D 4122";"10.49.15.139"
"Receiver 1 VAST Satellite 020D 4123";"10.66.146.108"
"Receiver 1 VAST Satellite 020D 4124";"10.49.36.48"
